THREADS	MEAN	SPEEDUP
1	7.81423742719926	1
2	4.61947630541399	1.69158513012417
4	2.94347421519924	2.65476673342298
8	1.85172298359685	4.21998187440577
12	1.71579643839505	4.55429167023373
24	1.22132521881722	6.39816267346619
36	1.1037631824147	7.07963225417984
48	1.10590282180347	7.06593497469885
