COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,1,42,8,0,7782.204874999999,72.456875,25141248000
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,2,1,8,41,153.631,71.277,25136332800
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,3,1,8,41,153.354125,71.310125,25138102272
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,4,1,8,41,153.39612499999998,71.250125,25146097664
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,5,1,8,41,153.38187499999998,71.271875,25139937280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,36,distribute,6,1,8,41,153.586,71.228,25139150848
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,1,54,823,0,7711.064058323207,88.70905832320777,25189089280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,2,1,974,53,174.8663501026694,89.60635010266941,25313935360
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,3,1,974,53,175.0026293634497,89.5126293634497,25443500032
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,4,1,974,53,174.75122484599592,89.4462248459959,25448349696
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,5,1,974,53,174.38592710472278,89.3739271047228,25455951872
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,36,distribute,6,1,974,53,196.99268993839834,89.52368993839835,25447366656
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,1,178,400,0,9289.41957,87.68857,25257574400
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,2,1,385,177,174.29518701298701,87.40518701298701,25338183680
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,3,1,385,177,173.8781922077922,87.3911922077922,25412108288
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,4,1,385,177,173.65177662337663,87.40477662337662,25413353472
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,5,1,385,177,173.7126181818182,87.3926181818182,25412960256
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,36,distribute,6,1,385,177,173.62985194805194,87.39485194805194,25415712768
