COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,1,42,8,0,9096.640000000001,62.315,25078202368
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,2,1,8,41,130.931625,60.664625,25082527744
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,3,1,8,41,130.211375,60.395375,25084755968
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,4,1,8,41,131.063125,61.480125,25093865472
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,5,1,8,41,130.946375,61.423375,25091768320
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,48,distribute,6,1,8,41,131.3125,60.7065,25096028160
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,1,54,748,0,10832.888168449199,74.41216844919786,25136005120
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,2,1,893,53,148.56154087346025,76.54054087346024,25252003840
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,3,1,893,53,149.52597088465845,76.57097088465845,25379143680
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,4,1,893,53,148.79474020156772,75.27474020156774,25382158336
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,5,1,893,53,149.0181601343785,75.38016013437849,25395724288
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,48,distribute,6,1,893,53,148.4101444568869,75.8791444568869,25399656448
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,1,178,394,0,12530.986895939086,77.2708959390863,25218121728
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,2,1,455,177,148.3418021978022,74.1498021978022,25296371712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,3,1,455,177,148.9309142857143,74.17691428571429,25365381120
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,4,1,455,177,148.2199824175824,74.19398241758242,25372393472
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,5,1,455,177,194.86619340659342,74.54719340659341,25374359552
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,48,distribute,6,1,455,177,150.3050131868132,76.0930131868132,25365577728
