COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,1,42,8,0,16092.317500000001,189.7775,24998313984
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,2,1,8,41,406.55062499999997,189.536625,25003229184
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,3,1,8,41,406.51587500000005,189.542875,25009651712
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,4,1,8,41,406.50625,189.53825,25007685632
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,5,1,8,41,406.53375,189.53075,25008865280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,small,12,distribute,6,1,8,41,406.49512500000003,189.543125,25004736512
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,1,54,529,0,16214.698767485823,228.64476748582229,25028132864
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,2,1,701,53,451.7415320970043,231.79253209700428,25115361280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,3,1,701,53,451.93994151212553,231.83594151212552,25206718464
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,4,1,701,53,451.9877318116976,231.81173181169757,25219366912
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,5,1,701,53,451.7946333808844,231.82463338088445,25217138688
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,medium,12,distribute,6,1,701,53,451.7973609129815,231.82736091298148,25225265152
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,1,178,485,0,20158.747179381444,233.4921793814433,25076432896
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,2,1,390,177,455.5957641025641,231.30576410256413,25164513280
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,3,1,390,177,455.6318076923077,231.2958076923077,25245057024
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,4,1,390,177,455.82481538461536,231.3678153846154,25242697728
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,5,1,390,177,455.5061538461539,231.36315384615386,25237520384
build-clang-blis,Meta-Llama-3.1-8B-Instruct,Q4_K_M,static,large,12,distribute,6,1,390,177,455.3742794871795,231.29727948717948,25242959872
