COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,1,37,38,0,487.81605263157894,9.666052631578948,2805399552
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,2,1,59,36,19.769983050847458,9.766983050847458,2810118144
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,3,1,59,36,19.74871186440678,9.76271186440678,2810839040
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,4,1,59,36,19.75383050847458,9.767830508474576,2817851392
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,5,1,59,36,19.7535593220339,9.764559322033898,2822438912
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,small,24,distribute,6,1,59,36,19.781779661016948,9.76277966101695,2830041088
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,1,48,335,0,476.5203552238806,10.744355223880596,2880700416
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,2,1,457,47,22.530623632385122,10.84462363238512,2887974912
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,3,1,457,47,22.5914704595186,10.8374704595186,2900295680
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,4,1,457,47,22.58362363238512,10.855623632385122,2903048192
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,5,1,457,47,22.623052516411377,10.858052516411378,2905669632
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,medium,24,distribute,6,1,457,47,22.57613566739606,10.848135667396061,2907635712
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,1,178,401,0,855.6179750623442,10.814975062344141,2906980352
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,2,1,512,177,23.3645078125,10.9185078125,2921791488
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,3,1,512,177,23.417294921874998,10.911294921875,2938109952
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,4,1,512,177,23.379906249999998,10.91190625,2941779968
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,5,1,512,177,23.377265625,10.912265625,2944991232
build-clang-blis,SmolLM2-135M-Instruct,Q4_K_M,static,large,24,distribute,6,1,512,177,23.40248046875,10.91548046875,2944729088
