COMPILER,MODEL,QUANTIZATION,SEEDING,PROMPT,THREADS,NUMA,RUN,PROMPT_N,PREDICTED_N,CACHE_N,TTFT,TPOT,MEM
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,1,16,31,0,798.5215161290323,68.69151612903225,8632795136
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,2,16,31,0,797.2906129032258,68.64561290322581,8654684160
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,3,16,31,0,796.8282580645161,68.68325806451612,8661893120
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,4,16,31,0,796.6094193548387,68.63841935483872,8667332608
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,5,16,31,0,796.6927419354839,68.67074193548387,8675983360
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,small,24,distribute,6,16,31,0,795.8664516129032,68.63945161290322,8676048896
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,1,27,926,0,1269.7562786177107,73.93127861771059,8671592448
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,2,27,926,0,1266.907991360691,73.94199136069115,8810921984
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,3,27,926,0,1266.5373930885528,73.94839308855292,8813608960
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,4,27,926,0,1266.890442764579,73.93044276457883,8810921984
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,5,27,926,0,1267.0158855291577,73.91888552915768,8813871104
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,medium,24,distribute,6,27,926,0,1266.9558250539956,73.92282505399567,8812625920
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,1,154,575,0,3625.776746086957,74.76474608695652,8933539840
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,2,5,596,149,350.73902348993283,74.64202348993288,9049014272
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,3,5,596,149,350.98830033557044,74.71630033557047,9176416256
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,4,5,596,149,353.16427181208053,75.03827181208054,9192931328
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,5,5,596,149,352.17400838926176,74.96900838926175,9184083968
build-clang-blis,gemma-3-it-4B,Q4_K_M,static,large,24,distribute,6,5,596,149,351.1759966442953,74.6719966442953,9181659136
